delta_x/l,delta_z/l,force
0.0,4.0,0.6424393073530373
0.1,4.0,0.6464898081914994
0.2,4.0,0.6505726841978073
0.30000000000000004,4.0,0.6547203157262749
0.4,4.0,0.6589650831312156
0.5,4.0,0.6633393667669433
0.6000000000000001,4.0,0.6678755469877716
0.7000000000000001,4.0,0.6726044122586543
0.8,4.0,0.6775430097019314
0.9,4.0,0.6827016943213274
1.0,4.0,0.6880907867243121
1.1,4.0,0.6937206075183533
1.2000000000000002,4.0,0.6996014773109203
1.3,4.0,0.7057605105803548
1.4000000000000001,4.0,0.71233523810171
1.5,4.0,0.7194985720299648
1.6,4.0,0.7274226607070969
1.7000000000000002,4.0,0.7362796524750836
1.8,4.0,0.746241695675902
1.9000000000000001,4.0,0.7574691844515921
2.0,4.0,0.7698953453245216
2.1,4.0,0.7832479142279413
2.2,4.0,0.7972472219748131
2.3000000000000003,4.0,0.8116135993780991
2.4000000000000004,4.0,0.8260673772507613
2.5,4.0,0.840335077004775
2.6,4.0,0.8542359661254155
2.7,4.0,0.8676155270345127
2.8000000000000003,4.0,0.8803107578364473
2.9000000000000004,4.0,0.8921586566356007
3.0,4.0,0.9029962215363533
3.1,4.0,0.9126608472911992
3.2,4.0,0.9210828662983654
3.3000000000000003,4.0,0.9284008831131637
3.4000000000000004,4.0,0.9347816114189399
3.5,4.0,0.9403917648990385
3.6,4.0,0.9453980572368047
3.7,4.0,0.9499671896379842
3.8000000000000003,4.0,0.954231730609978
3.9000000000000004,4.0,0.9582157236462346
4.0,4.0,0.9619216920352673
4.1000000000000005,4.0,0.9653521590655904
4.2,4.0,0.9685096480257172
4.3,4.0,0.9713966822041612
4.4,4.0,0.9740280982159015
4.5,4.0,0.9764547833645909
4.6000000000000005,4.0,0.9787309863309799
4.7,4.0,0.9809109212637881
4.800000000000001,4.0,0.9830488023117353
4.9,4.0,0.9851988436235407
5.0,4.0,0.9874268726198965
5.1000000000000005,4.0,0.9897589807447338
5.2,4.0,0.9921464751992922
5.300000000000001,4.0,0.9945386870756301
5.4,4.0,0.9968849474658058
5.5,4.0,0.9991345874618784
