sepDist,time,drone1_x,drone1_y,drone1_z,drone1_roll,drone1_pitch,drone1_yaw,drone1_thrust,drone2_x,drone2_y,drone2_z,drone2_roll,drone2_pitch,drone2_yaw,drone2_thrust,downwash_force_at_pos_drone1
0.60,5.966666666666667,1.9001537561416626,0.004480998497456312,1.0132495164871216,-0.004098956473171711,0.001509635359980166,0.012073254212737083,0.40455113943175103,2.002030611038208,0.0018035058164969087,1.6533764600753784,0.0057435608468949795,-0.0025081061758100986,0.004257650580257177,0.08902958792648079,0.6464898081914994
0.60,5.973333333333334,1.9028151035308838,0.00477283401414752,1.012924075126648,-0.006003006361424923,-0.00023824989330023527,0.01137390173971653,0.3977643486835851,2.002122640609741,0.0017538347747176886,1.65279221534729,0.005894483532756567,-0.003375654574483633,0.0046860212460160255,0.10154348160750343,0.6464898081914994
0.60,5.98,1.9054336547851562,0.005043376237154007,1.0126049518585205,-0.005860187578946352,-0.00041268637869507074,0.010832585394382477,0.39541277284625,2.0021932125091553,0.0017327085370197892,1.6521192789077759,0.0059036985039711,-0.00374707137234509,0.004765642341226339,0.1099863845554881,0.6464898081914994
0.60,5.986666666666667,1.9080348014831543,0.005309403408318758,1.0122699737548828,-0.003891727654263377,-0.0004494733293540776,0.011289156042039394,0.39717244270272667,2.0022192001342773,0.0017308375099673867,1.6513864994049072,0.006400950253009796,-0.00400209566578269,0.004819604102522135,0.1159411807277159,0.6464898081914994
0.60,5.993333333333334,1.9106268882751465,0.005644241813570261,1.0118458271026611,-0.0010298400884494185,-0.0005174395628273487,0.011432334780693054,0.40076651425718884,2.002251625061035,0.0017819294007495046,1.650615930557251,0.006400400772690773,-0.003778558224439621,0.0049864365719258785,0.12022418542098984,0.6464898081914994
0.60,6.0,1.9132312536239624,0.005980636924505234,1.0113533735275269,0.0019540726207196712,0.00025988020934164524,0.011105473153293133,0.395446924493381,2.002319812774658,0.0018405098235234618,1.6498194932937622,0.007200199645012617,-0.004189655650407076,0.004505703691393137,0.11861782804731263,0.6464898081914994
0.60,6.006666666666667,1.9158048629760742,0.00627772556617856,1.0108650922775269,0.002384224208071828,0.001809847541153431,0.011523671448230743,0.39891829898116293,2.002375364303589,0.0018555419519543648,1.6490308046340942,0.006596240680664778,-0.003931181039661169,0.004814077168703079,0.12757780280724906,0.6464898081914994
0.60,6.013333333333334,1.918378472328186,0.006626165006309748,1.0102925300598145,0.002111729234457016,0.004200620111078024,0.012265035882592201,0.4075220518129734,2.0024313926696777,0.0019193812040612102,1.6481845378875732,0.0071383146569132805,-0.0041229380294680595,0.004501195624470711,0.13897989123371213,0.6464898081914994
0.60,6.0200000000000005,1.921041488647461,0.006824201438575983,1.0097923278808594,0.002229474950581789,0.005035638343542814,0.012536481022834778,0.4018214472134664,2.0024611949920654,0.0019274806836619973,1.6472585201263428,0.007233821786940098,-0.004437300842255354,0.004375908989459276,0.15074832626893286,0.6464898081914994
0.60,6.026666666666667,1.9236255884170532,0.007119370624423027,1.0091509819030762,0.0006815567030571401,0.004515817388892174,0.01342802308499813,0.39381043198433835,2.0025527477264404,0.0019633800256997347,1.6462583541870117,0.006863569375127554,-0.004915078170597553,0.004579029977321625,0.15350512185751927,0.6464898081914994
0.60,6.033333333333334,1.9261332750320435,0.0074608176946640015,1.0084526538848877,-0.001589116989634931,0.0034157836344093084,0.014207170344889164,0.4058767586172307,2.0026142597198486,0.0019684818107634783,1.645236849784851,0.006026450544595718,-0.004839027300477028,0.00452375179156661,0.15440922456242892,0.6464898081914994
0.60,6.04,1.9287447929382324,0.007763761095702648,1.0078125,-0.002482030773535371,0.0022337043192237616,0.0152427414432168,0.4021775328189802,2.002652645111084,0.002013272838667035,1.6442091464996338,0.006190851796418428,-0.005039250012487173,0.004439174197614193,0.15370850396289654,0.6464898081914994
0.60,6.046666666666667,1.9313005208969116,0.00815820973366499,1.0071043968200684,-0.0021619454491883516,-0.00017907892470248044,0.016024356707930565,0.40587564254236624,2.002692461013794,0.0020786230452358723,1.6431872844696045,0.006113420706242323,-0.005328381899744272,0.0050248196348547935,0.14354718821840493,0.6464898081914994
0.60,6.053333333333334,1.9338637590408325,0.008508010767400265,1.006311297416687,0.0002862938854377717,-0.0016947048716247082,0.016244735568761826,0.4132296660032381,2.002716064453125,0.002144929487258196,1.642232894897461,0.006108622532337904,-0.004796488210558891,0.004996410571038723,0.14680998018819208,0.6464898081914994
0.60,6.0600000000000005,1.936437964439392,0.008912482298910618,1.0054173469543457,0.004183876793831587,-0.003077947534620762,0.016192462295293808,0.40429803008109816,2.0027339458465576,0.002214612439274788,1.6412568092346191,0.006511426065117121,-0.004787733778357506,0.004428183194249868,0.15268859484646535,0.6464898081914994
0.60,6.066666666666667,1.9389628171920776,0.009260503575205803,1.0045405626296997,0.007936576381325722,-0.0022786958143115044,0.01605870947241783,0.41389923446385446,2.0027647018432617,0.002268696203827858,1.6402407884597778,0.006446458864957094,-0.005040057934820652,0.0049268584698438644,0.16091645314203168,0.6464898081914994
0.60,6.073333333333334,1.9415042400360107,0.009631944820284843,1.0035320520401,0.009321216493844986,-0.0041589392349123955,0.015671124681830406,0.40520548321804173,2.002793312072754,0.002357503632083535,1.639172077178955,0.007074372842907906,-0.005056949332356453,0.005043155513703823,0.16186306389523258,0.6464898081914994
